Abstract_ID,CUI,Name,Definition,TUIs,Aliases
0,C0400966,Non-alcoholic Fatty Liver Disease,A term referring to fatty replacement of the hepatic parenchyma which is not related to alcohol use.,['T047'],"['Nonalcoholic fatty liver disease', 'Fatty Liver, Nonalcoholic', 'non-alcoholic fatty liver', 'Non-alcoholic fatty liver (disorder)', 'Fatty Livers, Nonalcoholic']"
0,C5204628,Prevalent,"Widespread, especially in a particular area or at a particular time.",['T080'],[]
0,C0348080,Condition,"A state of being, such as a state of health.",['T080'],"['Condition (attribute)', 'Condition']"
0,C1272688,status - In progress,,['T169'],"['progressed', 'progresses', 'in progress', 'In progress', 'In progress (qualifier value)']"
0,C0016059,Fibrosis,"Any pathological condition where fibrous connective tissue invades any organ, usually as a consequence of inflammation or other injury.",['T046'],"['Desmoplasia', 'Fibrous replacement', 'Fibrosis (qualifier value)', 'desmoplasia', 'FIBROSIS']"
0,C0035647,Risk,The probability that an event will occur. It encompasses a variety of measures of the probability of a generally unfavorable outcome.,['T078'],"['Risk', 'risk of', 'Risk of', 'risks', 'Risk of (contextual qualifier) (qualifier value)']"
0,C2239176,Liver carcinoma,"A primary malignant neoplasm of epithelial liver cells. It ranges from a well-differentiated tumor with EPITHELIAL CELLS indistinguishable from normal HEPATOCYTES to a poorly differentiated neoplasm. The cells may be uniform or markedly pleomorphic, or form GIANT CELLS. Several classification schemes have been suggested.",['T191'],"['Hepatocellular Carcinomas', 'CARCINOMA OF LIVER', 'HCC - Hepatocellular carcinoma', 'liver carcinoma', 'Carcinoma, Liver Cell']"
0,C1280519,Effectiveness,The capacity to bring about a desired effect.,['T080'],"['Efficacy', 'Effectiveness', 'effectiveness', 'effective', 'Effectiveness (qualifier value)']"
0,C0087111,Therapeutic procedure,Procedures concerned with the remedial treatment or prevention of diseases.,['T061'],"['TX', 'therapies', 'treatments', 'Therapeutic', 'Therapeutic procedure']"
0,C0017817,glutathione,"A tripeptide with many roles in cells. It conjugates to drugs to make them more soluble for excretion, is a cofactor for some enzymes, is involved in protein disulfide bond rearrangement and reduces peroxides.","['T116', 'T121', 'T123']","['N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine', 'gamma L Glu L Cys Gly', 'gamma-L-Glutamyl-L-cysteinyl-glycine', 'gamma-L-Glutamyl-L-Cysteinylglycine', 'GLUTATHIONE']"
0,C0175996,Protoplasm,"The organized colloidal complex of organic and inorganic substances (as proteins and water) that constitutes the living nucleus, cytoplasm, plastids, and mitochondria of the cell. It is composed mainly of nucleic acids, proteins, lipids, carbohydrates, and inorganic salts.",['T026'],"['intracellular anatomical structure', 'Protoplasms', 'internal to cell', 'protoplasm', 'Protoplasm']"
0,C1157234,glutathione biosynthetic process,"The chemical reactions and pathways resulting in the formation of glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins. [GOC:ai, GOC:al, GOC:pde, ISBN:0198506732]",['T044'],"['glutathione formation', 'glutathione synthesis', 'glutathione anabolism', 'glutathione biosynthesis']"
0,C0242606,Oxidative Stress,"A disturbance in the prooxidant-antioxidant balance in favor of the former, leading to potential damage. Indicators of oxidative stress include damaged DNA bases, protein oxidation products, and lipid peroxidation products (Sies, Oxidative Stress, 1991, pxv-xvi).",['T049'],"['Stress, Oxidative', 'oxidative stress', 'Oxidative Stresses', 'Oxidative stress', 'stress oxidative']"
0,C0016059,Fibrosis,"Any pathological condition where fibrous connective tissue invades any organ, usually as a consequence of inflammation or other injury.",['T046'],"['Desmoplasia', 'Fibrous replacement', 'Fibrosis (qualifier value)', 'desmoplasia', 'FIBROSIS']"
0,C0400966,Non-alcoholic Fatty Liver Disease,A term referring to fatty replacement of the hepatic parenchyma which is not related to alcohol use.,['T047'],"['Nonalcoholic fatty liver disease', 'Fatty Liver, Nonalcoholic', 'non-alcoholic fatty liver', 'Non-alcoholic fatty liver (disorder)', 'Fatty Livers, Nonalcoholic']"
0,C0726639,Impact food supplement,,['T168'],"['Impact', 'impact', 'IMPACT']"
0,C0205263,Induce (action),The act of bringing about something.,['T169'],"['Inducible', 'Inducing', 'Induce', 'Induced', 'Induction']"
0,C0227525,Hepatocyte,The main structural component of the LIVER. They are specialized EPITHELIAL CELLS that are organized into interconnected plates called lobules.,['T025'],"['Hepatic Cells', 'Hepatocytus', 'Hepatic Cell', 'Cell, Hepatic', 'hepatocyte']"
0,C2717940,Hep G2 Cells,A human liver tumor cell line used to study a variety of liver-specific metabolic functions.,['T025'],"['Hep G2 Cell', 'HepG2 Cells', 'Cells, Hep G2', 'Cell, Hep G2', 'HepG2 Cell']"
0,C5669900,Dulbecco's Modified Eagle Medium,"A serum-free medium for supporting the growth of adherent mammalian cells. It contains a combination of 6 salts, 13 essential amino acids, and 8 vitamins and is intended for use in a humidified incubator where the air contains 5% carbon dioxide.",['T130'],['DMEM']
0,C0036563,Plant seeds,"The encapsulated embryos of flowering plants. They are used as is or for animal feed because of the high content of concentrated nutrients like starches, proteins, and fats. Rapeseed, cottonseed, and sunflower seed are also produced for the oils (fats) they yield.",['T002'],"['Spermatophyta', 'seeds', 'Plant Embryo', 'Plant Zygote', 'Seeds']"
0,C0178587,density,The amount of something per unit size.,['T081'],"['DEN', 'Mass to volume ratio', 'density', 'Density (qualifier value)', 'density (physics)']"
1,C0015252,removal technique,The surgical removal of an organ or a part of an organ.,['T061'],"['surgical removal procedure', 'extirpation', 'excisions', 'resect', 'Resection']"
1,C0494165,Secondary malignant neoplasm of liver,"A malignant neoplasm that has spread to the liver from another (primary) anatomic site. Such malignant neoplasms may be carcinomas, lymphomas, melanomas, or sarcomas.",['T191'],"['LIVER CANCER, METASTATIC', 'Liver Metastasis', 'liver secondaries', 'Malignant neoplasm of liver, secondary', 'metastases to liver']"
1,C1315098,Race:Type:Point in time:^Patient:Nominal,,['T201'],"['Race:Type:To identify measures at a point in time:^Patient:Nominal', 'Race:Type:Pt:^Patient:Nom', 'Race']"
1,C0021682,Health Insurance,"Insurance providing coverage of medical, surgical, or hospital care in general or for which there is no specific heading.",['T058'],"['Insurances, Health', 'health insurances', 'Insurance, Health', 'Health Insurances', 'Health insurance']"
1,C1955989,Healthcare Disparities,Differences in access to or availability of medical facilities and services.,['T080'],"['Health Care Inequalities', 'Disparity, Healthcare', 'Health Care Inequality', 'Disparities, Healthcare', 'Disparity, Health Care']"
1,C0008972,Clinical Research,"A work that reports on the results of a research study to evaluate interventions or exposures on biomedical or health-related outcomes. The two main types of clinical studies are interventional studies (clinical trials) and observational studies. While most clinical studies concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans.",['T062'],"['Study', 'Clinical Study', 'clinical studies', 'clinical research', 'Clinical Research']"
1,C0220825,Evaluation,"Systematic, objective appraisal of the significance, effectiveness, and impact of activities or condition according to specified objectives and criteria.",['T058'],"['Evaluated', 'efficacy assessment', 'evaluation', 'evaluations', 'Investigation']"
1,C1280500,Effect,A phenomenon that follows and is caused by some previous phenomenon.,['T080'],"['effects', 'Effect', 'Effect (qualifier value)', 'effect']"
1,C0021682,Health Insurance,"Insurance providing coverage of medical, surgical, or hospital care in general or for which there is no specific heading.",['T058'],"['Insurances, Health', 'health insurances', 'Insurance, Health', 'Health Insurances', 'Health insurance']"
1,C0015252,removal technique,The surgical removal of an organ or a part of an organ.,['T061'],"['surgical removal procedure', 'extirpation', 'excisions', 'resect', 'Resection']"
2,C0007328,Case-Control Studies,"Comparisons that start with the identification of persons with the disease or outcome of interest and a control (comparison, referent) group without the disease or outcome of interest. The relationship of an attribute is examined by comparing both groups with regard to the frequency or levels of outcome over time.",['T062'],"['Case Control Study', 'Studies, Case-Control', 'Case-Referent Studies', 'Study, Case Control', 'case-control study']"
2,C3658315,Social Determinants of Health,"The circumstances in which people are born, grow up, live, work, and age, as well as the systems put in place to deal with illness. These circumstances are in turn shaped by a wider set of forces: economics, social policies, and politics (http://www.cdc.gov/socialdeterminants/).",['T033'],"['Social Determinants of Health', 'Health Social Determinant', 'Health Social Determinants', 'SDOH', 'SDoH']"
2,C0018684,Health,The state of the organism when it functions optimally without evidence of disease.,['T078'],"['Health', 'Health (qualifier value)', 'health', 'wellness', 'Well-being']"
2,C0018946,"Hematoma, Subdural","Accumulation of blood in the SUBDURAL SPACE between the DURA MATER and the arachnoidal layer of the MENINGES. This condition primarily occurs over the surface of a CEREBRAL HEMISPHERE, but may develop in the spinal canal (HEMATOMA, SUBDURAL, SPINAL). Subdural hematoma can be classified as the acute or the chronic form, with immediate or delayed symptom onset, respectively. Symptoms may include loss of consciousness, severe HEADACHE, and deteriorating mental status.",['T046'],"['subdural bleeding', 'Subdural intracranial hemorrhage (disorder)', 'SUBDURAL HEMATOMA', 'Subdural intracranial hematoma', 'Subdural intracranial haematoma']"
2,C0206698,Cholangiocarcinoma,A malignant tumor arising from the epithelium of the BILE DUCTS.,['T191'],"['Cholangiocarcinoma of biliary tract', 'Carcinomas, Cholangiocellular', 'Cholangiocellular Carcinoma', 'cholangiocarcinomas', 'Cholangiocellular Carcinomas']"
2,C0206698,Cholangiocarcinoma,A malignant tumor arising from the epithelium of the BILE DUCTS.,['T191'],"['Cholangiocarcinoma of biliary tract', 'Carcinomas, Cholangiocellular', 'Cholangiocellular Carcinoma', 'cholangiocarcinomas', 'Cholangiocellular Carcinomas']"
2,C0035647,Risk,The probability that an event will occur. It encompasses a variety of measures of the probability of a generally unfavorable outcome.,['T078'],"['Risk', 'risk of', 'Risk of', 'risks', 'Risk of (contextual qualifier) (qualifier value)']"
2,C0021149,Incidence,"The number of new cases of a given disease during a given period in a specified population. It also is used for the rate at which new events occur in a defined population. It is differentiated from PREVALENCE, which refers to all cases in the population at a given time.",['T081'],"['number of new disease cases', 'incidence', 'Incidence', 'incidences', 'Incidences']"
2,C0242961,Replication Origin,"A unique DNA sequence of a replicon at which DNA REPLICATION is initiated and proceeds bidirectionally or unidirectionally. It contains the sites where the first separation of the complementary strands occurs, a primer RNA is synthesized, and the switch from primer RNA to DNA synthesis takes place. (Rieger et al., Glossary of Genetics: Classical and Molecular, 5th ed)",['T086'],"['Autonomously Replicating Sequence', 'Replication Origins', 'Origins, Replication', 'ori Regions', 'Replication Origin']"
2,C0039725,Thailand,"Formerly known as Siam, this is a Southeast Asian nation at the center of the Indochina peninsula. Bangkok is the capital city.",['T083'],"['thailand', 'Siam', 'Thailand', 'Kingdom of Thailand', 'Thailand (geographic location)']"
3,C1827106,Dipeptidyl-Peptidase IV Inhibitors,Compounds that suppress the degradation of INCRETINS by blocking the action of DIPEPTIDYL-PEPTIDASE IV. This helps to correct the defective INSULIN and GLUCAGON secretion characteristic of TYPE 2 DIABETES MELLITUS by stimulating insulin secretion and suppressing glucagon release.,['T121'],"['DPP 4 Inhibitors', 'Dipeptidyl-Peptidase 4 Inhibitors', 'DPP 4 Inhibitor', 'Product containing dipeptidyl peptidase IV inhibitor (product)', 'Dipeptidyl-Peptidase IV Inhibitors']"
3,C0935929,Antidiabetics,"Any substance used to reduce hyperglycemia or treat disorders associated with diabetes. Based on their mechanism of action, this class of agents can be classified to the following groups: directly acting insulomimetics, which activates insulin receptors; indirectly acting insulinomimetics, which increase insulin release such as sulfonylureas or which potentiate the effect of insulin such as metformin; those act directly on the metabolism of glucose such as inhibitors of glucosidases and inhibitors of aldose reductase.",['T121'],"['Antidiabetic agent', 'Agent, Antidiabetic', 'antidiabetic drug', 'antidiabetics', 'antidiabetic agent']"
3,C1280500,Effect,A phenomenon that follows and is caused by some previous phenomenon.,['T080'],"['effects', 'Effect', 'Effect (qualifier value)', 'effect']"
3,C0030705,Patients,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",['T101'],"['patients', 'patient', 'Patient', 'Patient (person)', '*^patient']"
3,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,['T047'],"['MATURITY-ONSET DIABETES', 'Diabetes mellitus type 2', 'type II diabetes mellitus', 'AODM', 'Diabetes, Maturity-Onset']"
3,C0400966,Non-alcoholic Fatty Liver Disease,A term referring to fatty replacement of the hepatic parenchyma which is not related to alcohol use.,['T047'],"['Nonalcoholic fatty liver disease', 'Fatty Liver, Nonalcoholic', 'non-alcoholic fatty liver', 'Non-alcoholic fatty liver (disorder)', 'Fatty Livers, Nonalcoholic']"
3,C0400966,Non-alcoholic Fatty Liver Disease,A term referring to fatty replacement of the hepatic parenchyma which is not related to alcohol use.,['T047'],"['Nonalcoholic fatty liver disease', 'Fatty Liver, Nonalcoholic', 'non-alcoholic fatty liver', 'Non-alcoholic fatty liver (disorder)', 'Fatty Livers, Nonalcoholic']"
4,C0009237,Coffee,A beverage made from ground COFFEA beans (SEEDS) infused in hot water. It generally contains CAFFEINE and THEOPHYLLINE unless it is decaffeinated.,['T168'],"['Coffee', 'Coffee (substance)', 'coffee', 'Coffee, NOS', 'coffea']"
4,C0039400,Tea,"The infusion of leaves of CAMELLIA SINENSIS (formerly Thea sinensis) as a beverage, the familiar Asian tea, which contains CATECHIN (especially epigallocatechin gallate) and CAFFEINE.",['T168'],"['tea', 'Tea (substance)', 'Tea', 'Tea, NOS', 'Thea']"
4,C2700280,World,People in general considered as a whole.,['T098'],[]
4,C1265611,Quantity,How much there is of something that you can measure; the total amount or number.,['T081'],"['amount', 'Quantity', 'Quantity finding (finding)', 'amounts', 'Amount']"
4,C0006644,caffeine,"A methylxanthine naturally occurring in some beverages and also used as a pharmacological agent. Caffeine's most notable pharmacological effect is as a central nervous system stimulant, increasing alertness and producing agitation. It also relaxes SMOOTH MUSCLE, stimulates CARDIAC MUSCLE, stimulates DIURESIS, and appears to be useful in the treatment of some types of headache. Several cellular actions of caffeine have been observed, but it is not entirely clear how each contributes to its pharmacological profile. Among the most important are inhibition of cyclic nucleotide PHOSPHODIESTERASES, antagonism of ADENOSINE RECEPTORS, and modulation of intracellular calcium handling.","['T109', 'T121']","['caffeine products', 'Thein', 'Coffein', 'methyltheobromine', 'CAF']"
