Abstract_ID,Entities
0,"['Non-alcoholic Fatty Liver Disease', 'Prevalent', 'Condition', 'status - In progress', 'Fibrosis', 'Risk', 'Liver carcinoma', 'Effectiveness', 'Therapeutic procedure', 'glutathione', 'Protoplasm', 'glutathione biosynthetic process', 'Oxidative Stress', 'Fibrosis', 'Non-alcoholic Fatty Liver Disease', 'Impact food supplement', 'Induce (action)', 'Hepatocyte', 'Hep G2 Cells', ""Dulbecco's Modified Eagle Medium"", 'Plant seeds', 'density']"
1,"['removal technique', 'Secondary malignant neoplasm of liver', 'Race:Type:Point in time:^Patient:Nominal', 'Health Insurance', 'Healthcare Disparities', 'Clinical Research', 'Evaluation', 'Effect', 'Health Insurance', 'removal technique']"
2,"['Case-Control Studies', 'Social Determinants of Health', 'Health', 'Hematoma, Subdural', 'Cholangiocarcinoma', 'Cholangiocarcinoma', 'Risk', 'Incidence', 'Replication Origin', 'Thailand']"
3,"['Dipeptidyl-Peptidase IV Inhibitors', 'Antidiabetics', 'Effect', 'Patients', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Non-alcoholic Fatty Liver Disease', 'Non-alcoholic Fatty Liver Disease']"
4,"['Coffee', 'Tea', 'World', 'Quantity', 'caffeine', 'Daily', 'Persons', 'Large', 'Quantity', 'Liver', 'Clinical Research', 'Relationships', 'Coffee', 'Tea', 'Consumption of goods', 'Diet', 'Intake', 'caffeine', 'Finding of liver enzyme levels', 'Profiling (action)', 'Clinical Research', 'control act - information', 'Participant', 'Age', 'year', 'Cohort Studies', 'ARPP21 gene', 'geographic population', 'Epidemiologic Studies', 'Persian language', 'demographic characteristics', 'Medical History', 'Consumption of goods', 'Coffee', 'Tea', 'caffeine', 'Intake', 'Laboratory Procedures', 'Investigates', 'Relationships', 'Coffee', 'Tea', 'Consumption of goods', 'caffeine', 'Intake', 'Finding of liver enzyme levels', 'Profiling (action)', 'Participant', 'Woman', 'Males', 'Older people', 'Male population group', 'Consumption of goods', 'Increased', 'Relationships', 'CD55 gene', 'Curie', 'Increased', 'Abnormal', 'Alkaline Phosphatase', 'Alkaline Phosphatase', 'Curie', 'Decreased', 'Abnormal', 'SGOT - Glutamate oxaloacetate transaminase', 'Curie', 'High', 'Intake', 'caffeine', 'Variable (uniformity)', 'Profiling (action)', 'Finding of liver enzyme levels', 'Increased', 'Increasing (qualifier value)', 'Consumption of goods', 'Coffee', 'Tea', 'Intake', 'Increase', 'High', 'Intake', 'caffeine', 'Coffee', 'Tea', 'Adverse event', 'Effect', 'Liver', 'Enzymes', 'Blood Coagulation Factor', 'care activity', 'Materials']"
5,"['Investigates', 'California', 'Mortality Vital Statistics', 'Social', 'Factor', 'History of present illness (finding)', 'Composite', 'Measures', 'Indicators', 'Neighborhood', 'Censuses', 'Tract', 'Transportation', 'Housing', 'Environmental Pollution', 'Aggregation', 'Census tract', 'COVID19 (disease)', 'Cessation of life', 'geographic population', 'Community Surveys', 'History of present illness (finding)', 'Age', 'History of present illness (finding)', 'Cardiovascular Diseases', 'COVID19 (disease)', 'Diabetes', 'Liver Cirrhosis', 'Injury of liver', ""Alzheimer's Disease"", 'Glycation End Products, Advanced', 'year', 'Mortality Vital Statistics', 'History of present illness (finding)', 'Etiology aspects', 'Mortality Vital Statistics', 'COVID19 (disease)', 'Rating (action)', 'geographic population', 'Fraction of', 'COVID19 (disease)', 'Age', 'Gender', 'Ethnicity', 'Shapes', 'findings aspects', 'Contracting', 'public health medicine (field)', 'Reduced', 'Health Inequities']"
6,"['Evaluation', 'Statistical Prevalence', 'Food Insecurity', 'CFI gene', 'Community', 'Pediatric brand name', 'Services Utilization']"
7,"['Clinical Research', 'Evaluation', 'Impact food supplement', 'lidocaine', 'Solutions', 'Saline Solution', 'Wash (cleansing action)', 'Lumpectomy of breast', 'Dental caries', 'Visual Accommodation', 'Pain, Postoperative', 'Concern', 'Patients', 'Breast surgery specialty']"
8,"['Liver and Intrahepatic Biliary Tract Carcinoma', 'Liver carcinoma', 'altretamine/cisplatin/cyclophosphamide protocol', 'second (number)', 'Cancer-Related Death', 'Pancreatic carcinoma', 'Overall Publication Type', 'Survival Rate', 'altretamine/cisplatin/cyclophosphamide protocol', 'low', 'Numerous', 'treatment options', 'altretamine/cisplatin/cyclophosphamide protocol', 'Systemic', 'Radiofrequency Ablation', 'Transarterial Chemoembolization', 'Transarterial Radioembolization', 'Operative Surgical Procedures', 'Transplantation of liver', 'Effectiveness', 'Drug Delivery Systems', 'Liver and Intrahepatic Biliary Tract Carcinoma', 'Physiological', 'Changing', 'Organ', 'Artificial nanoparticles', 'Vibration Therapy Units, Whole Body', 'Therapeutic procedure', 'Structure', 'With configuration', 'Stable status', 'Degree or extent', 'Hydrophobicity', 'Comprehensive', 'Therapeutic procedure', 'research', 'Potential']"
9,"['Alcohol Related Disorders', 'Mortality Vital Statistics', 'Cessation of life', 'chronic', 'Etiology aspects', 'ethanol', 'Increasing (qualifier value)', 'United States', 'geographic population', 'Subgroup A Nepoviruses', 'Review [Publication Type]', 'Mental association', 'Social Determinants of Health', 'Social Control Policies', 'Health Care', 'Availability of', 'Social Environment', 'Numerous', 'Geographic', 'Social Determinants of Health', 'Local', 'Context', 'Alcohol Related Disorders', 'Mortality Vital Statistics', 'Interventional procedure', 'Social Determinants of Health', 'Alcohol Related Disorders', 'Mortality Vital Statistics', 'Improved', 'Community', 'Health']"
10,"['Noncommunicable Diseases', 'Cessation of life', 'World', 'International', 'Indicators', 'Changing', 'Diet', 'Mental association', 'Clinical Research', 'Measures', 'Mental association', 'Metabolic', 'risk factors']"
11,"['Impact food supplement', 'Social Determinants of Health', 'Health', 'Social Determinants of Health', 'Pediatric brand name', 'Transplantation of liver', 'Outcome Measures', 'Clinical Research', 'Effect', 'Deprivation', 'Graft material', 'Pediatric brand name', 'Transplantation of liver', 'Recipient']"
12,"['Social Determinants of Health', 'Social Determinants of Health', 'Impact food supplement', 'Chronic liver disease', 'Chloride Anion Exchanger', 'Outcome Measures', 'Systematic Review', 'Mental association', 'Social Determinants of Health', 'Mortality Vital Statistics', 'Hospitalization', 'Hospital admission', 'Patients', 'Chloride Anion Exchanger']"
13,"['Open', 'Transplantation of liver', 'Tumor Necrosis Factor-Beta', 'trends qualifier', 'Out of Specification', 'Recipient', 'Characteristics', 'Organ', 'Quantitation', 'Out of Specification', 'Impact food supplement', 'Visual Accommodation', 'Social Determinants of Health', 'Health', 'Hematoma, Subdural', 'Financial cost', 'Associated with', 'Risk']"
14,"['Clinical Research', 'Burden', 'Burden', 'Traumatic AND/OR non-traumatic injury', 'risk factors', 'Global Burden of Disease', 'trauma qualifier', 'risk factors', 'Clinical Research']"
15,"['Hepatitis C', 'Hepatitis C', 'Hepatitis C', 'Prevalent', 'Liver diseases', 'Severe (severity modifier)', 'Outcome Measures', 'Liver Cirrhosis', 'Liver carcinoma', 'Traditional origin', 'diagnostic procedure', 'Detected (finding)', 'Antibodies, Viral', 'RNA, Viral', 'Limitation', 'Antibodies', 'week', 'acute', 'Case (situation)', 'Absent', 'Persons', 'Undiagnosed', 'Infection of ear', 'public health medicine (field)', 'Article', 'Biosensors', 'Engineer', 'Detected (finding)', 'Hepatitis C', 'Surface Antigens', 'Proteins', 'Biosensors', 'Accurate (qualifier)', 'Diagnosis', 'Viral Components', 'Communicable Diseases', 'Detection', 'Antigens, Viral', 'Diffusion of Innovation', 'Early', 'Diagnosis', 'Interventional procedure', 'viral transmission', 'Evaluation', 'Potential', 'Improved', 'Hepatitis C', 'Detection', 'Clinical', 'Hepatitis C', 'Serious Public Health Threat']"
16,"['Statistical Prevalence', 'Relationships', 'Smoking', 'Potential', 'risk factors', 'Cataract']"
17,"['Transplantation', 'Neoplasms', 'Transplantation of liver', 'Tumor Necrosis Factor-Beta', 'Combined', 'cancer care', 'Improved', 'Patients', 'Liver and Intrahepatic Biliary Tract Carcinoma', 'Patients', 'Access', 'Tumor Necrosis Factor-Beta', 'Social Determinants of Health', 'Negative', 'Impact food supplement', 'Patients', 'Ability', 'Review [Publication Type]', 'Tumor Necrosis Factor-Beta', 'Transplantation', 'Nursing interventions', 'Vision Disparity']"
18,"['Malignant Neoplasms', 'Etiology aspects', 'Cessation of life', 'Tumor Microenvironment', 'Malignant Neoplasms', 'Effectiveness', 'Therapeutic procedure', 'development aspects', 'Methods', 'Treatment intent', 'Malignant Neoplasms', 'Technology', 'Drug Industry', 'Research and Development', 'TBATA gene', 'Technology', 'Achievement', 'research', 'Tumor cells, malignant', 'Simulate composite resin', '3 Days', 'Cell Microenvironment', 'Technology', 'Hernandez Fragoso syndrome', 'System', 'findings aspects', 'Tumor cells, malignant', 'Techniques', 'Modeling', 'therapeutic aspects', 'Tumor cells, malignant', 'Limitation', 'Clinical Research']"
19,"['Impact food supplement', 'Clinical', 'Social', 'Factor', 'Mental health treatment', 'Patterns', 'Health Care Costs', 'Patients', 'altretamine/cisplatin/cyclophosphamide protocol']"
20,"['Hip Fractures', 'Disability', 'Elderly (population group)', 'Scientific Study', 'World', 'Identified', 'risk factors', 'Hip Fractures', 'Clinical Research', 'Investigates', 'risk factors', 'Hip Fractures', 'Systematic Review', 'risk factors', 'Hip Fractures', 'Publishing', 'Languages', 'Patients', 'Country', 'Examined', 'Keyword', 'MATCHING', 'Predictor', 'Hip Fractures', 'Particle', 'International', 'PubMed', 'Assessed', 'Clinical Research', 'Colicin Plasmids', 'Correlation', 'Risk', 'Hip Fractures', 'Alcohol consumption', 'Encounter due to problems with hearing', 'Low BMI', 'Cerebrovascular accident', 'Cardiovascular Diseases', 'Presenile dementia', ""Alzheimer's Disease"", 'Parkinson Disease', 'hepato-renal', 'Disease', 'Bone Density', 'Osteoporosis', 'Spinal Fractures', 'Clinical Research', 'Correlation', 'Consumption of goods', 'calcium', 'Cognition Disorders', 'Schizophrenia', 'Households', 'Income', 'Risk', 'Hip Fractures', 'risk factors', 'Hip Fractures', 'Persons', 'Recommendation', 'Health Policy', 'Interventional procedure', 'Mood swings', 'Colicin Plasmids']"
21,"['Evaluation', 'Changing', 'Age', 'Asian Americans', 'geographic population']"
22,"['Smoking', 'Mortality Vital Statistics', 'Cessation of life', 'Billion per Dose', 'year', 'Life', 'Lost', 'Refused', 'Smoking', 'Statistical Prevalence', 'year', 'Country', 'Generations', 'trends qualifier', 'Smoking', 'Statistical Prevalence', 'Smoking', 'Statistical Prevalence', 'Reduction (chemical)', 'Communicating', 'Effect', 'Potential', 'Tobacco Policy']"
23,"['Alcohol Use Disorder', 'Medical Condition', 'Persons', 'Billion per Dose', 'Health Care Costs', 'Statistical Prevalence', 'Young Adult', 'Males', 'Sexual and Gender Disorders', 'American Indians', 'Uninsured', 'High Prevalence', 'Impact food supplement', 'Health Care', 'Inadequate (qualifier)', 'Implementation', 'Screening for cancer', 'low', 'Levels (qualifier value)', 'therapeutic aspects', 'Uptake', 'Recognition, Psychology', 'Epidemiology', 'Social Determinants of Health']"
24,"['Investigates', 'Persons', 'Social Determinants of Health', 'Health', 'Social Determinants of Health', 'Cumulative', 'Cat-Scratch Disease', 'Continuance of life', 'Receipt Date', 'Transplantation of liver', 'Tumor Necrosis Factor-Beta', 'Patients', 'Liver carcinoma', 'altretamine/cisplatin/cyclophosphamide protocol']"
25,"['Mental association', 'Social Determinants of Health', 'Transplantation of liver', 'Data Listing', 'Health Care', 'Policy', 'Nursing interventions', 'Health Services Accessibility', 'Analysis', 'Recipient', 'Databases', 'Merge', 'Social Deprivation Index', 'residence', 'Study models', 'End Stage Liver Disease', 'sodium', 'Waiting Lists (patient)', 'Implantation procedure', 'Outcome Measures', 'Waiting Lists (patient)', 'Sociodemographic Factors', 'Comparison', 'Candidate', 'selective dissemination of information', 'High', 'selective dissemination of information', 'socioeconomic', 'Curie', 'Curie', 'Model for end-stage liver disease sodium score:Score:Pt:^Patient:Qn', 'Statistical Significance', 'Ethnicity', 'Analyzers, Physiologic, Middle Ear, Acoustic Reflectometry', 'Score', 'Time', 'Waiting Lists (patient)', 'Analyzers, Physiologic, Middle Ear, Acoustic Reflectometry', 'Curie', 'Candidate', 'selective dissemination of information', 'Hazard Ratio', 'Transplantation of liver', 'High', 'Cessation of life', 'High', 'Risk', 'removal technique', 'Independence', 'Race:Type:Point in time:^Patient:Nominal', 'Coitus', 'United States', 'residence', 'High', 'socioeconomic', 'High', 'Time', 'Waiting Lists (patient)', 'residence', 'High', 'Socioeconomic Disadvantage', 'High', 'Cessation of life', 'removal technique', 'Lower - spatial qualifier', 'Chance', 'Transplantation of liver', 'Waiting Lists (patient)', 'Implantation procedure']"
26,"['Statistical Prevalence', 'Inflammatory Bowel Diseases', 'Inflammatory Bowel Diseases', 'Increased', 'Disadvantaged Populations', 'Community', 'Complex', 'Cumulative', 'Effect', 'Racism', 'Sexism', 'Social Determinants of Health', 'Influence', 'Patients', 'Experience', 'Medication Systems', 'Navigation', 'Disease', 'Culturally Sensitive Care', 'Characterization', 'Ability', 'DELIVER (veterinary product)', 'Patient-Centered Care', 'care activity', 'Intersectional Framework', 'Persons', 'Sense of identity (observable entity)', 'Anthropogenic Effects', 'Disease', 'intent', 'Impact food supplement', 'Disadvantaged Populations', 'Persons', 'Household composition', 'Inflammatory Bowel Diseases', 'Health Inequities', 'Inflammatory Bowel Diseases', 'Anthropological Culture', 'Competence', 'Follow', 'Comprehension', 'Beliefs', 'Anthropological Culture', 'Procedural learning', 'Patients', 'Experience', 'patient care', 'Cultural Competency', 'Cultural Sensitivity', 'Health Personnel', 'Time Perception', 'Caring', 'Patients', 'Groups', 'Diversity', 'Array', 'Sense of identity (observable entity)', 'Anthropological Culture', 'No status change', 'Bias, Implicit', 'Bias (Epidemiology)', 'Obstetric Delivery', 'Quality', 'Inflammatory Bowel Diseases', 'care activity', 'Review Literature', 'Inflammatory Bowel Diseases', 'care activity', 'Disadvantaged Populations', 'Community', 'Anthropological Culture', 'Sensitive', 'care activity', 'trust framework', 'Inflammatory Bowel Diseases', 'Practice Experience', 'research']"
